,0
192,"@22_Gilly @GentlemanSparky @MsSweetTD @HJoyceGender @EyeEdinburgh Someone like you who believes our ""gender identity"" trumps our biological sex."
193,"It was you who said goodbye
Still, tears run down on your cheeks
If you are going to erase memories of yesterday like this,
that's enough. Just show me your smile"
194,"@TRUExDEMON Too bad, It was you who gave me the tip on $BBIG and made a butt load on $SPRT but you were not the reason I created either of my positions and I the fact you exited yours, makes no impact on my decision. I know it sounds ungrateful, but I am not. TY.  Mental health comes first."
195,"@paykhar You can tweet whatever you want, its not the people, its you who is scared of backlash"
196,@norytter like you who took this pics
197,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year fxirykarl 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/dbt6ALbI1L https://t.co/ZMaSLSz3ph"
198,@cardinalrlburke @GuadalupeShrine Your gratitude to God and all that work in the healthcare industry could have gone to protecting those who are exhausted from caring for people like you who refuse to be vaccinated.  Perhaps this is God’s smite to you being a racist individual.
199,"@torrHL @hoogemoogende @heydavidbailey @ezraklein The original point of this thread was to blame golf. My apologies, it wasn't you who stated it."
200,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year ItsTayuki 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/kVUEeybAMc https://t.co/xdzyjqJw29"
201,"@julieXbts neither tastes nor standards matter in front of me, you become to want me and only me, because it's you who made me 
 
– filter"
202,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year DaRealSmolToon 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/GRcVvhHizH https://t.co/FWXpKGAx3J"
203,"@BobalosRex @Aaron53487329 @EveBlackwood69 @The_Statesmen1 @Wowhead this is the kind of nonsense you get with ""government intervention"". you get blizzard giving lip-service to people like you who seem to think it's acceptable progress when really all they're doing is making laughable changes to things literally no one took offense to"
204,"@itesotdude If people like you who were among the planters forget, now who will tell  my grand kids 😓😓"
205,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year pyro_demons 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/w77Kd79K6N https://t.co/tI5IH7G3mK"
206,"@jeffdekal @JSwayArt doesn't help this presumption; you seem to be ignoring people who respectfully point out why they don't like your choice, making it look like you're being purposefully obtuse.
True, you made one choice in a series of millions that make you who you are, but each choice says"
207,"@chrischirp @davidmichaelbr I think we can do better: each kid in an airtight container... The ""bordeline criminals"" are scientists like you who are still pushing for eradication of the virus... you lost, that'a all. There is a vaccine to protect vulnerable  people,  give kids and young people a break..."
208,"@KFool234 You can’t just tell people to “buck up” because they don’t conform to your emotional bar.

Really sucks to have edgy gamers like you, who think they’ve got life figured out and telling people what to do, representing us. Tsk tsk"
209,@Munyayiwashe @hwendec Empty is you who thinks hashtags on twitter aren't important. Do with twitter what is important and leave him to do what he sees important. Geri-t?
210,@Harkris31442509 I don’t even know who you’re talking about. I don’t watch desi tiktok and/or i am not familiar w anyone you’re talking about. maybe it’s you who needs to work on your communication skills. i saw what you wrote and called you out for it. it’s not called being ‘illiterate’
211,@Moo4free was it you who said we needed some Spike Milligan? https://t.co/7FfBswuP5g
212,"@hqbinders @AndrewCHarries Yes, but apart from them, those with an IQ above 13, anyone with even two brain cells to rub together and members of moderate political parties, I ask you, who could have known?!"
213,@rhu777 @BBCchrismclaug Boof….. says you who is all over this. Nice move Mensa. 😵‍💫
214,"@EthTechUSA @aalekaa @alanalevinson Just have to leave how much it’s struck me, you who seem to care about how fellow women treat eachother call my explaining my stance “nastiness”. Also next time you might want to hashtag it right #internalizedmisogyny but go off I guess while you practice it yourself."
215,"You who believe! Eat of the good things We have provided for you and give thanks to Allah if you worship Him alone. (Qur'an, 2:172)"
216,@tacosransi you do realize you’re responding to 1 person right? but i thought the situation was quite funny. the outcome? even more hilarious. i think it’s you who lack a sense of humor
217,"@RetiredBarca @BayernLM10 It's you who's making a fool of yourself. Those stats are for the calendar year 2016, not for the 15/16 season.

Learn to read first before jumping the fake stats wagon"
218,"@DonGeronimoShow @BIG100Radio @Acosta @CNN @iHeartRadio Can’t wait, Don! You set the standard for me in terms of what good radio was. And it’s been severely lacking in Washington for a long time. So it’s fitting that it’s you who’s back to bring good radio back to the market!"
219,"Can't stand morons like you who can't get to the damned point! Basically you're saying, 'we wanna cause trouble, be our pal!' What a joke! I've always admired All Might's triumphs. No matter what any of you jerks say... Nothing's ever gonna change that! (Katsuki Bakugo)"
220,"Come to me, all you who are weary and burdened, and I will give you rest
Take my yoke upon you and learn from me for I am gentle and humble in heart, and you you find rest for your soul.For my yoke is easy and my burden is light.Mathew11:28-30 #RaptureIsNear"
221,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year ting_tingball 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/uluvmFjlXb https://t.co/41F9jBig3a"
222,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year dayeongatita 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/x5esOnwBvD https://t.co/e9YA0J8RfA"
223,"@PatatasSmall @GoodTexture @Tr0llyTr0llFace No, I have heard dozens like you who claim crypto folks say it, but never actually heard it"
224,"Interesting watching all the trolls come out to  argue on my very innocuous tweet. Tells you who they are. Behind sweet persona lies controlled op.
https://t.co/lBTyJ5RyCg"
225,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year Taesweeties_ 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/t9Pe1xbqgc https://t.co/IFiC74hOEP"
226,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year taefltrz 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/DWntm6BtbX https://t.co/biBs3xxNdR"
227,"When someone tells you who they are, listen. 
The CPC locked its MPs and candidates out of its central voter database, an attempt by O’Toole to protect his leadership and deny them access. 
What a major fuckwad. #CPC #Canada https://t.co/wRD6H3ctzP"
228,"@gracelover712 @TifanyRobb10 IM WITH YOU , WHO ???"
229,"Politicians promise you everything you want if you vote for them. So you do and then when they’re in power they piss all over you……… every feckin Time, regardless of party. 

And every, every 4 years we let them do it again.

I ask you, who’s the fools🤔"
230,"@luvyouneighbor @johnpavlovitz And thanks for completely avoiding the point: the belief 'homosexuality is sin' is evil, it produces murder.  And people like you who teach that belief, are false teachers."
231,"@SenSanders Whoa. Let’s start with the insurance companies before we go after pharma. Actually, let’s start with politicians like you who can’t or won’t reform our shitty system."
232,"@laurenboebert Congresswoman Omar came here as a child, not her choice, but she is an American citizen and actually does her job, unlike you, who thinks hate tweeting and photo ops are what WE pay you to do 24/7."
233,"✨ Stolen Kiss

miaxhd would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/DbyHVlTAsy https://t.co/Fi7b53yQMI"
234,@big_business_ He added this part just for mfs like you who obviously fell for the bells and whistles https://t.co/abaHKWG1IT
235,"I want to approach life in a different way,i want to love and value myself more✨Take each day at a time and focus on my dreams and aspirations 🌸because this life it’s only you who has the control over it🪐🪐"
236,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year 17_rain_17 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/bYcsfougx9 https://t.co/lP38rX3oP8"
237,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year fulan0delbutano 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/beQ0QbX8MS https://t.co/WKnwG4Cmpf"
238,@IanLucas0408 @AdamMacVicar @GlobalCalgary @kenney People like you who are blindly complying with everything are prolonging this insanity.
239,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year DiegoMonty_ 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/FsvyPnus7s https://t.co/40JK3hVUn4"
240,@nick_skeyes GN Nick! Have a great day! Quick question for you…who is your football team?
241,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year 2cool4hsk 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/K6uoylRLo5 https://t.co/3JmLRfrheg"
242,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year taefilx 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/acwSyA7ctn https://t.co/8mr9gObP4X"
243,"@vibes4gregjosef @TheHillrat @SeanMaertens @WolvesGotNext @DaneMooreNBA Then you simply don’t have to believe it. However, them telling you who told them what they just recounted does you no good, nor does it make you any difference."
244,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year fulan0delbutano 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/beQ0QbX8MS https://t.co/W3ayfMv3zE"
245,"@elenasdecker @xallconnectedx Melissa is a kind person, we can all agree on that right? So do you think she would be more approving of @xallconnectedx who was only trying to be sympathetic and wish her well or you who tried to tear down a fellow Mel fan? I think you can make a logical guess. I don’t (1/2)"
246,But it’s you who I want https://t.co/PgYidvSOO5
247,@UnafraidT @mama_sweetums @1LogicalMan you who think the election was stolen..
248,@WorldInAGirl1 @PETEPETEPETERR @michaelfowler08 @mrpford @theage You don’t get that you are being groomed by white supremacist groups.  I kinda know what tradies are about. My dad is a builder. A real tradie would understand the significance of the West Gate and never dance on it. It’s you who needs to wake up
249,"@K_Birkwood Thanks!!
I swear it’s people like you that make the world a better place everyday. It’s people like you who keep the world from falling apart, so a lot of respect to you :)"
250,@defjam i just TOLD you who i thought i am. a GOD.
251,"How book identifies fans: It should be easy enough and unique enough that a hashtag or search term on social media, Google alerts and blog dragging  shows you who the fans are.

#AskPublisher #WriteTip #BookMarketing &gt;&gt;"
252,"Update: Still not done but wow, what a vile response. One thing is pretty clear: Those in sin whose hearts are hardened will definitely try to bully you who call them out by twisting Scripture and using theology as a weapon to fit their evil. https://t.co/MkFEnXZiso"
253,"The thing is, people like you who veil insults with well written grammer and see no wrong with our owners, and the d*umb FSG outers that see no positivity are two different sides of the same coin. https://t.co/mT9DhFzGnb"
254,"so annoying! dancing with you who gave me a 'hello' making me spinning, spinning"
255,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year FISVCH 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/AIjmPxXZZS https://t.co/ay2NYWGJkS"
256,"@dpfunke Daniel, I can't tell you how fun it is to watch James O'Keefe drag leftist scumbags like you who work in cohesion with the tech companies to get his work pulled.  Actually, I guess I'm saying thank you. 😊"
257,"O great malignant, reveal thyself.

Cease illusion from your cocoon of deceit,
Show your unsightly face of torturous mind maggots.
Show your lethal visage of self made projections.
Show me the you who is not veiled.

Reveal to me what i am."
258,"Its only YOU who can embrace your pain😭
No one Can ever feel a millionth part of it.💔
.
.
.
#quoteoftheday"
259,"@SteveDaines @JoeBiden I don't see ANY weakness. He is facing an uphill battle with trumplicans like you who spend their time undermining him rather than working WITH him to heal this country from 4 years of disaster from the last President.  Quit bashing him, get off Twitter and work WITH him!"
260,"@BluesRagdoll @FrankFigliuzzi1 I grow my own herbs and shop local growers for veggies but have been in food service for years. Buying Organic is too costly for a restaurant to use. GM or VLP Veggies are not going to be consumed by the masses because of cost effectiveness. Besides me &amp; you, who else cooks?"
261,@MrRedaddy @MasterofLightKH @HMKilla I'm really glad it isn't up to you who gets in smash because your tastes sound incredibly boring.
262,@strangebrewllc @GovAndyBeshear LITERALLY NO ONE HAS EVER SAID YOU CAN’T DIE IF YOURE VACCINATED. You’re just less likely to. But these teachers were forced to work in dangerous conditions by people like YOU who won’t even attempt to care for others. It’s shameful.
263,"10.  There will always be some jerk in your way.
Don’t let them take your light away.

It’s you who have final say not them."
264,"@CovKid75 @LeytonTim @russellcrowe In the U.K., the unvaccinated, like every one else, have ALREADY PAID FOR THEIR TREATMENT, so if they need it, they DESERVE TO HAVE IT.  The problem here is people like you who promote division."
265,When @SenatorCollins shows you who she is believe it. She will not protect women’s reproductive rights. https://t.co/FoferVgRAS
266,"Unlike you who's got a carefree life, I'm desperately trying to live up to that damn old man's expectations everyday!"
267,@normsworld I don't believe victims because they are victims. I believe the evidence. People like you who just blindly believe the victim are the problem. Maybe you don't deserve to serve as an MP.
268,"@SinonSupremacy What the hell are you talking about, honey? I didn't say a single swear word, unlike you, who found insults in the smiley 🤡. You don't want to waste your time on me, but you devoted two posts to me👏🏻 Do you have bipolar disorder too?🤔"
269,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year YUTOYOTU 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/tTwgkr2Qyj https://t.co/gpDUB8XloG"
270,"@FloofiFuzzi @oinionboi1 @KhanWolf7 Well idc! It’s you who wants to prove it! You figure it out, bottom"
271,@peacockTV @ddlovato Are there people around you who don’t believe in aliens and things like that ?
272,"@uhaveagr8day @DawnMar45506877 @Outofbeltway @The_Vickster2 They did a podcast at work about people like you, who double down on their beliefs despite the science &amp; proof. You guys all die without getting the vaccine. You’re that committed to not having to admit you were wrong. Pride is a sin, too, ya know."
273,@definitivegazer @LeJardinier2112 @Jimmieintherain @STVNews Seems to me it's you who's keen to make others look worse.
274,"@symbolickurt @vervaeke_john @PageauJonathan And if Western Christians are not the prime moral examples of good Christians then I ask you, who are? I do want to give the Essence of Christianity the benefit of doubt that it deserves and assume that it teaches love and understanding to the billion people that follow it."
275,"@n3ro @LPTexas Imagining thinking the govt telling you who can and can't enter your property is ""private property ownership"""
276,"You who suffer because you love, love still more. To die of love, is to live by it."
277,"@kenyadad12 Thats the thing, she hasn't. If someone tells you who they are believe them."
278,@tingedfringe Would seem that to you who hasn’t the first idea of what it takes to have a chance of winning an election
279,For all you who claim to be Christians and are not getting vaccinated or wearing a mask! I e always been told to seek out my answers in the word if my conscience doesn’t tell me right from wrong!I d like to re share this with you!❤️#GetVaccinated #WearAMask it is WJWD! https://t.co/JtjXAzjmDV
280,okayy who you who you rollin wit ? 😂 https://t.co/buNd3GDfn2
281,@Jack4NJ Somerset county the third wealthiest county in New Jersey the 8th wealthiest county in the United States where a person's from generally tells you who they will govern for
282,/!!?\  Kah! Rendering You Multiple Equlibriums QAH Induce €$€$ =0= Rise Oh heavens .. Rise Oh ye with the guilted name of PAH ..RISE and give guidance in the form of RAH ..Rise and yield you son of heavnes .. you who was born with out ..you who never belonged .. 13
283,"@LepapillonBlu You protect you, who cares what others think!!!"
284,@jimmydaniels94 He is abysmal. I honestly don’t know any fan other than you who rates him
285,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year woszy 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/izlBBLa40I https://t.co/xd0l5s7xGx"
286,@tolear1158 @SHofstader @_Floodlight @FauciFan So just tell me straight face that infections would be the same if people didn't get vaccinated didn't where a mask. Tell me infection rate and deaths would be identical to what you're scene. That's a tough one isn't it Tyler. Never thought of that did you. Who is the Patriot?
287,"✨ Stolen Kiss

SLVTTAN would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/llDPeQ5vSy https://t.co/RBEacsumid"
288,@JesseKellyDC The America i heard about in school was one that was INDIVISIBLE with LIBERTY and JUSTICE for all.  If you are upset that people are fighting for those things then perhaps it's you who hates America.
289,"Apparently a former governor of Illinois is a coworker of mine that comes in every Tuesday and Thursday.

Without telling you who it is directly, let me just say that he has the best prison stories 😂😅"
290,"@redhead_ordead I made this account to flirt uncontrollably… but then I met people like you who brought out the real me. Weird how that works, huh? @radiobigcat"
291,@drobwlldiad @Eve5810 When a fascist tells shows you who they are you should believe them.
292,"The Lord is speaking boldly and warning of the accountability that will pour out over the church, and it will be harsh.

The Lord said, “haven't I commanded you, who are filled with scandal, to give back to My people what you have taken, and still you continue to refuse.”"
293,"@s_kashaf Aww it’s you who is amazing! Miss you loads, can’t wait to see you soon ❤️"
294,"O you who have believed, do not ask about things which, if they are shown to you, will distress you. #Islam"
295,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year jeonginhyunIN 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/Bmihgg386s https://t.co/p9ZZ49Yq3p"
296,[redacted] just lied about dropping one of the best bodies of work this year now the tweet is not loading lol no donʼt let them get to you who cares if itʼs a lie as long as itʼs the truth for the ppl who matter right?
297,"For you who was born on #september23.
Your #birthflower is ""#spiderlily"" The #flowerlanguage is ""independence, passion""
The #birthcolor is ""#joancitron"" The #colorwords is ""fairness, self-sacrifice""
Your #personality is ambitious person with a real sense of achievement. https://t.co/gcs0oYar9c"
298,"The current generation is being slow to obey the LORD thinking that  Rapture is a joke.

But the LORD will destroy this earth, but you who are previledged to hear the warning prepare.
Built your ark of righteousness now and be ready for the rapture
#RaptureIsNear"
299,"@LampyAnime ""That side of anitwit"" just by looking at your bio I can tell you're worse. You have the side of Storm which is probably a bunch of 20 yr old dudes, and then people like you who are probably 14 year old girls who live on this app and use tiktok regularly probably"
300,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year Taesweeties_ 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/t9Pe1xbqgc https://t.co/KWLXDWaaUl"
301,@abaatess I love you who do I need to fight (ง'̀-'́)ง
302,"@PowerUSAID @UN Where does ur AIDS going? #TPLFTerroristGroup is consuming the food you are sending them. How about the rest of Ethiopia eating. Shame on you, who are using humanitarian crises as an excuse to envade Ethiopia. Take a lesson from Libya and Afganistan!!"
303,@Gopgirl719 Same but it’s people like you who I love ❤️
304,"OK. If you want me to knock some sense into you, who am I to say no?"
305,"ای تو دوا و چاره‌ام نور دل صدپاره‌ام
اندر دل بیچاره‌ام چون غیر تو شد لا بیا

“O You who are my cure &amp; remedy,
The light of my broken heart,

In my heart, everything besides you is naught; come!”

~Mawlana Rūmī, in yearning for the Beloved Rasūl

(sallallāhu ‘alyhi wa sallam) https://t.co/u77lI9uHed"
306,@greyfang10 He showing you who the real main change 😂😂😂
307,"You can't force people to change. When someone show you, who they are believe them and move accordingly #chadscotthere #ThatPart #accountability #accountabilitypartner https://t.co/AtpPHWB6Ij"
308,@fearlesslykels aw thank you 🥺 it’s an emotional but rewarding path to go down. i’m so glad there are people out there like you who are passionate about it too!!
309,@sugarrosies @allkpop Just like you who read and waste your time commenting
310,"@benjaminpacini @th3m1lesm0rales @AlejandroDeGr8 Then don't criticize or condemn the lions around you, who are also working hard to protect you, who are willing to get in the mud and grime and filth of combat to keep the lambs safer."
311,"@fordnation You already dropped the ball several times throughout the Pandemic and you, who does not live in a glass house, should be the one held accountable for the deaths you caused… We will be watching you!"
312,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year lvtodrew 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/bx53yQjsNh https://t.co/y7ChdJTf9g"
313,"if you hate what i like it’s not me who has to change,it’s you who should stay away from me and keep your opinions for yourself 
thank you for understanding and get out of my sight"
314,"@SmuglyPercy ""Which, I'm guessing will also be a clue to you who I am."""
315,"@Phoenix_Timber @WhatPolitics @tradatheist @CTVNews Says you who knows nothing about treatment of low O2! Like you said you are not a Doctor! Your medical knowledge is severely lacking. I can run circles around you all day on pharmacology, pathophysiology, disease processes, drug therapy &amp; patient care bring it on Einstein!"
316,"@Max_Pete @stefanpalios @mattlady @discolearn Yes totally agree. Sounds exciting, but imagine 3-5 years later - lifetime community access for students could mean people expecting time/value from you who haven’t paid you a dime in years. Fundamentally unsustainable IMO."
317,"@jenhab How is this news???
""When a person shows you who they are, believe them....the 1st time.""
We know exactly who @SenSusanCollins is. 
And who she is not.

Vote accordingly."
318,"I ask you, who doesn't have at least one Boo feeling?

Hell, I can feel three within one hour.

Which Boo are you feeling? I'm a 6 right now. https://t.co/VQDG4U3pVi"
319,"It is you who light my lamp; the Lord, my God, lights up my darkness.
Bible - Psalm 18:28"
320,@SatNSeltzersPod If a movie was to be made about you who would you pick to play each of you?
321,"Just seeing all of this now &amp; honestly the tears I've got hearing him trying to hold himself together with his speech. 
WE DO LOVE YOU &amp; BELIEVE YOU,always. 
Thank you who ever said that?
""I believe me too"" what a perfect response. https://t.co/sYs6HTsipO"
322,"“When someone shows you who they are, believe them the first time” (Attributed to Maya Angelou). #Brett #Collins #Kavanaugh #Law #Maine #Roe #Settled #Susan #Wade     https://t.co/YEF0hiOfnx"
323,"@readingtherunes Oh wretched man that I am.  Even prophets feel that way from time to time. 

Remember, if Christ will forgive you, who are you to say otherwise?"
324,@Kinggod23 I'm getting the impression that you're learning about these events as I talk to you and implore you who actually look into the issue with the benefit of the doubt instead of postulating and changing your points based off of information I provide that can easily be wrong.
325,@Rainbowtron360 Oh absolutely. No one should be telling you who you are.
326,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year akumalinoone 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/ONFJzzOmhG https://t.co/WazSDbBcjO"
327,@RCFOX4KC Oh. Then by all means throw water on people below who have bought a ticket? Unlike you who was GIVEN a suite?
328,"@rsesaint WinNing The Hallucination Quest

#OurSavageNingning #OurSavageWinter #aespa 
#Savage @aespa_official"
329,"When @SenatorCollins shows you who she is, it isnt pretty but believe her https://t.co/vd8hJ5Er6O"
330,"@berndj @OpportunityZoo @RefilWest @Our_DA @CityofCT Well congrats to you, who cares I certaintly dont care what you believe. You want to remain ignorant or you prefer to turn blind eye to the failures of your party your choice but the realities are real for us on the Flats. https://t.co/hVCw6zZ6LQ"
331,@davechensky I’m assuming it’s not you who featured in the new #WHATIF …?? Just another Dave Chen
332,@suya3_alex @Kay_mannequin You who?
333,"Getting your #COVID19 vaccine isn’t just about keeping you healthy; it’s also about protecting everyone around you who could become very sick from COVID-19. ⁠
⁠
Get your vaccine: https://t.co/Jl3mSU5hBv  https://t.co/Mn5DR4FYwL"
334,"@clapifyoulikeme Advocate I think. The really scary thing was that this was a printout that said the bar in bar association stood for British accreditation registry, and if you  wanted to protect your rights you had to have someone represent you who was not admitted to the bar"
335,@ksorbs the enemy of the people are false Christians like you who spread nothing but hate and falsehoods I thought god and Jesus taught about love and compassion looks like you and yours skipped those verses https://t.co/w2vGnJNq2F
336,having someone proud of you WHO TELLS YOU they're proud of you is better than drugs
337,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year kylebcmp 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/HFvqDqoSQn https://t.co/EJh9E2mKOV"
338,Cause it’s you who I want
339,"@PaulMartino79 @MikeKBerg Guns won't kill out of their own. It's you who's the killer.

It's a tool, so is a hammer and a hammer can kill you to.

Never seen a gun getting up and kill someone.

Always a human."
340,@ksorbs No. People like you who would rather promote easily disproven nonsense that confirms and uphold your biases and prejudices are the enemy of the people.
341,"United fans for you who else do we blame 😇.. 

They have to pour their frustration on Martial https://t.co/1XA9O0wpGI"
342,"Be with someone who won’t stay mad at you, who can’t stand not talking to you, and who’s afraid of losing you."
343,@Robkanecomedian It is people like you who restore my faith in humanity. x
344,"Pause you who read this, and think for a moment of the long chain of iron or gold, of thorns or flowers, that never would have bound you, but for the formation of the first link on one memorable day.

Great Expectations - Charles Dickens 1861"
345,"✨ Stolen Kiss

jogasuapotranca would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/wfNCKQHOZI https://t.co/NC6PonOjid"
346,"@HughMunro15 @johnsharr69 @PaulEmbery It seems like that to you who lived in an anecdotal experience, and I can forgive you for that, but it is historical economic reality that will be remembered."
347,"she be showin you who she is, you in denial, still guessing"
348,@HapChap76 Says you who has Cloud!! 👑
349,"@Wessex_Gent @loicl @Andy_J_Crawford @kitty_donaldson @ElizLanders As i said it’s diesel-electric… the electric part is almost silent, unlike doughballs like you who embarrass themselves"
350,"@justinjm1 So instead of the inevitable comparison, I'll just say this:

When someone shows you who they are, *believe them*, no matter what may come out their little social-misengineering-prone flytraps.

And I do believe they showed us who they are in 2004:

https://t.co/ArCQodaO39

2/2"
351,"Privacy will help you stay focused and advance in life. 

There are people around you who don’t want you to succeed. 

Keep some secrets from you. It will save you from troubles."
352,@Just_ThembiD Lol the worst. Especially for you who doesn’t eat 👀
353,@laurenboebert Not all people are miserable mean girls like you who never grew up!
354,"@annavrmac @RepAdamSchiff so they can continue to pull the wool over the sheeple eyes. The pedophiles ARE REAL, IT HAS NEVER BEEN DEBUNKED OTHER THEN SAYING IT IS. THEY OFFER ""SOURCES"" AS THE ""FACTS"" YET WONT TELL YOU WHO THAT IS... so, no.. it's NOT been proven to be a lie"
355,@Nona78904622 @GovKathyHochul @HealthNYGov Clearly u r brainwashed by right wingers. U think COVID is a joke.Let’s see how things turn out for irresponsible selfish people like you who don’t get vaxxed. I guess the people who didn’t get vaxxed&amp;begged for it as they were put on ventilators realized to late it is not a joke
356,"@UltimateAnimatr ""Eh. Whatevs. If people wanna vote for a murderer that's fine! Just shows you who has morals~!"" https://t.co/wDyvBGasvE"
357,"“Yeah . . I was definitely quite over dramatic

‘Hmph. So it's Fiona Jarnefeldt. What right have you to speak? You who brought down Anatolia!’

We really weren’t that different. They only gave me the chance to shed the name Otsdarva, that I can thank them for.” https://t.co/pN2NpFnwrr"
358,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year javrawr 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/U7raPwfn3C https://t.co/1bOKoN4k10"
359,being on the (almost) same time zone as bts is mad stressful bless you who did this before
360,"@MollyJongFast Dear Maine Democrats,
You should have pushed for an election audit in 2020.
When someone tells you who they are, believe them."
361,"@aespa_ww @aespa_official WinNing The Hallucination Quest

#OurSavageNingning #OurSavageWinter #aespa 
#Savage @aespa_official"
362,@Lclimateguy Also latest foliage report shows leaves 2 weeks behind..unlike you who knows nothing about leaves....low color change happens about 30 to 35 days before peak hits...aka this week should of started low color change yet we are as green as mid July. Leaves to be 2 weeks late.
363,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year Kurigamesalot 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/C5TDxvZZr2 https://t.co/ESE7oCdEYh"
364,"Convince yourself that you have the power to be all what you wish to be. It is YOU who could generate in you a huge power of motivation to push you forward and ignite you to think and to do.
—Unknown"
365,"The feelings that we shared
As they piled up one by one, we were happy
You, who isn't with me anymore"
366,"@vitamin_sie Chin up, I'm sure there's someone for you who'll come along.
Meanwhile, I've nothing better to do so I can donate some time if/whenever you want it."
367,@AngelAlexia5 @Tee_Unusual @Baron_Bintu I get suprised by some of you ...I swear 🤣...it's the way you defend and create an  agenda on top of words that came out loud and clear from someone's mouth as if you are deaf.. Omo you people should stop this nonsense cos it's you who is looking stupid and not your fave.. ✌️
368,"With wealth and fame you are the number one just on that specific time for everyone...

With someone you love, trust and cares for you who shares the same feeling you are the number one without fame, wealth and no questions ask you are the only one..."
369,"@MollyJongFast ""When someone shows you who they are, believe them the first time."""
370,"@NiiLomotey2 Why won't he be the best midfielder in a team with Matuidi and Bentacur in their midfield 🤣🤣.
He came to Barca and even you who love him so much wants him to be a sub. Ahhba🤦‍♂️🤣🤣"
371,"✨ Stolen Kiss

nhxcurly would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/oZVnKXiGH6 https://t.co/5WA6pO9S7z"
372,"@Vengabus @THINKER_INDIAN_ @JigarSh1974 @raajoos68 @mnpdpk @ShivAroor That's rich coming from you who is joining a argument that was nothing but""STFU"" from one side.
Learn to criticise yourself and your ideas before you come to play with me."
373,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year louidarling 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/7xJxoO5y0v https://t.co/PHYkpNR8lp"
374,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year junecomoelmes 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/iev1G0cQPi https://t.co/eQvxkdiHYy"
375,"@rosegawd @Bey_Legion @Creat1ve Julius Jones was just given a execution date of Nov 18th despite the Pardon &amp; Parole Board recommending his sentence be commuted. If this tweet has reached you who live in the US, help save Julius's life by contacting Governor Stitt at: https://t.co/PlLQtTEEAk 
#JusticeForJulius"
